,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,0,1,10,1,11,2,22,2,28,3,40,3,43,3,51,3,60,3,71,3,73,4,78,4,84,4,95,4,117,4,131,4,141,4,150,5,164,6,178,6,183,0
0,0,0,1,0,6,0,19,0,27,1,33,2,34,2,42,2,50,2,58,2,68,2,80,3,83,4,87,4,95,4,102,4,110,4,126,4,141,4,155,4,155,4,153,1
0,0,0,3,0,8,1,17,1,27,1,27,3,33,3,40,3,45,3,52,3,58,3,64,4,72,4,75,4,81,4,102,4,114,4,120,5,131,5,153,5,159,5,154,1
0,0,0,7,0,12,0,19,0,21,1,25,1,31,2,32,2,37,2,42,2,46,2,52,2,57,2,64,2,64,2,68,2,77,2,82,2,92,3,92,3,92,3,89,1
0,0,0,10,0,22,0,23,0,31,0,49,0,51,1,53,2,58,3,65,4,71,4,75,4,90,5,99,5,105,6,111,6,115,7,120,8,127,8,135,9,137,10,179,0
0,0,0,5,0,7,0,27,0,40,0,42,0,44,0,53,0,56,0,60,0,61,1,65,2,69,2,84,2,87,4,92,4,93,6,98,6,109,7,111,8,112,8,127,0
0,0,0,14,0,23,0,35,0,50,0,63,0,74,0,78,0,86,1,97,1,101,1,105,1,115,2,119,2,123,2,135,2,139,3,149,4,155,4,171,4,178,4,176,1
0,0,0,19,0,29,1,35,1,38,1,50,2,56,2,67,2,72,2,79,2,88,2,90,4,98,4,111,4,120,4,130,5,137,5,152,5,161,5,169,5,179,5,177,1
0,0,0,6,0,15,1,34,1,40,1,55,1,65,1,72,1,81,1,84,2,99,2,112,2,129,2,141,2,144,2,157,3,165,3,177,3,185,4,197,5,201,7,212,0
0,0,0,7,0,11,0,17,0,26,1,31,1,33,2,43,2,54,2,57,2,63,2,75,2,90,2,97,2,105,2,112,2,115,2,128,3,132,5,137,6,153,6,157,0
0,0,0,10,0,15,0,24,0,34,0,45,0,51,2,54,2,59,2,66,3,74,4,78,4,85,4,87,4,96,4,104,5,118,6,136,6,152,6,160,7,175,7,175,1
0,0,0,1,0,9,0,20,0,23,1,32,1,36,2,47,2,50,3,54,3,67,3,72,3,77,5,80,5,85,5,90,5,97,5,103,5,114,5,131,5,146,5,146,1
0,0,0,12,0,18,0,22,0,35,1,41,1,44,1,53,1,59,1,68,2,72,2,77,2,88,2,96,2,108,2,114,2,117,3,120,3,131,3,141,3,148,3,148,1
0,0,0,8,0,13,1,22,1,23,2,24,2,28,3,37,4,40,4,48,4,56,5,64,5,75,7,77,7,79,8,82,8,87,9,87,10,87,10,87,10,87,10,193,0
0,0,0,7,0,14,0,16,1,25,1,30,1,35,1,44,1,53,1,60,1,62,1,75,1,80,1,90,1,100,1,116,1,116,1,116,1,116,1,116,1,116,1,113,1
0,0,0,2,0,14,0,19,0,27,1,36,1,41,1,44,3,51,3,61,3,75,3,80,3,87,3,102,3,107,3,112,4,125,4,139,5,146,7,156,7,164,7,164,1
0,0,0,3,0,11,0,18,0,30,0,39,0,43,1,50,1,58,1,64,2,70,2,85,2,88,5,92,5,95,6,98,7,101,10,101,10,101,10,101,10,101,10,204,0
0,0,0,3,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,146,0
